Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
9,7,NITRO EXPRESS(T353),D Whyte,D E Ferraris,118,1176,2,5-1/2,6 7 7 9 ,1:40.78,12,18-19-31,Class 3,HV,1650M,GOOD,"T-1F - ""C"" Course"

1,4,AMBITIOUS HEART(V303),A Sanna,D E Ferraris,126,1159,3,-,1 1 1 ,1:10.42,11,18-19-32,Class 4,HV,1200M,GOOD,"T-1F - ""C"" Course"
2,8,CAPTAIN BOSS(B096),C Wong,L Ho,111,1135,6,2,10 8 2 ,1:10.75,8.2,18-19-32,Class 4,HV,1200M,GOOD,"T-1F - ""C"" Course"
3,11,APPLAUSE(A023),M Chadwick,K H Ting,115,1091,4,2,6 7 3 ,1:10.76,7.4,18-19-32,Class 4,HV,1200M,GOOD,"T-1F - ""C"" Course"
4,6,FANTASTIC FABIO(V364),U Rispoli,C H Yip,126,1177,5,3-1/4,2 3 4 ,1:10.95,12,18-19-32,Class 4,HV,1200M,GOOD,"T-1F - ""C"" Course"
5,1,MR PICASSO(T330),C Schofield,D J Hall,133,1140,2,3-1/2,4 4 5 ,1:10.97,7.1,18-19-32,Class 4,HV,1200M,GOOD,"T-1F - ""C"" Course"
6,2,VICTORY POWER(B294),Z Purton,R Gibson,131,1120,1,3-1/2,7 6 6 ,1:10.97,2.1,18-19-32,Class 4,HV,1200M,GOOD,"T-1F - ""C"" Course"
7,9,LOVE CHUNGHWA(T207),M L Yeung,T P Yung,119,1149,8,3-3/4,11 9 7 ,1:11.02,27,18-19-32,Class 4,HV,1200M,GOOD,"T-1F - ""C"" Course"
8,10,JUNZI(V274),D Whyte,W Y So,120,1018,7,4,8 10 8 ,1:11.07,31,18-19-32,Class 4,HV,1200M,GOOD,"T-1F - ""C"" Course"
9,5,EMPIRE STAR(A145),C Y Ho,Y S Tsui,124,1113,10,4-3/4,9 11 9 ,1:11.19,21,18-19-32,Class 4,HV,1200M,GOOD,"T-1F - ""C"" Course"
10,12,EXPRESS STAR(B342),H T Mo,C S Shum,109,1057,9,6,3 2 10 ,1:11.40,69,18-19-32,Class 4,HV,1200M,GOOD,"T-1F - ""C"" Course"
11,3,I'M THE CONQUIST(B155),C Murray,K L Man,128,1080,12,7-1/2,5 5 11 ,1:11.63,32,18-19-32,Class 4,HV,1200M,GOOD,"T-1F - ""C"" Course"
12,7,TRUE GRIT(B232),K Teetan,J Size,125,1030,11,9,12 12 12 ,1:11.86,72,18-19-32,Class 4,HV,1200M,GOOD,"T-1F - ""C"" Course"

1,4,RIGHT HONO-1ABLE(A164),Z Purton,R Gibson,132,1009,3,-,8 8 7 1 ,1:40.62,2.8,18-19-33,Class 4,HV,1650M,GOOD,"T-1F - ""C"" Course"
2,11,LETSGOFREE(T292),K C Leung,K H Ting,118,970,2,2-1/2,4 5 6 2 ,1:41.03,7.3,18-19-33,Class 4,HV,1650M,GOOD,"T-1F - ""C"" Course"
3,7,SPARKLING SWORD(P256),M Chadwick,K W Lui,126,1160,11,2-3/4,5 2 2 3 ,1:41.06,12,18-19-33,Class 4,HV,1650M,GOOD,"T-1F - ""C"" Course"
4,1,SICHUAN BOSS(V416),K Teetan,A T Millard,133,1250,5,3,6 6 5 4 ,1:41.11,9.8,18-19-33,Class 4,HV,1650M,GOOD,"T-1F - ""C"" Course"
5,12,SAVANNAH WIND(A307),H T Mo,C S Shum,113,1081,4,4,10 10 9 5 ,1:41.26,65,18-19-33,Class 4,HV,1650M,GOOD,"T-1F - ""C"" Course"
6,8,GARLIC YEAH(V039),W M Lai,C H Yip,125,999,1,4,7 7 8 6 ,1:41.28,43,18-19-33,Class 4,HV,1650M,GOOD,"T-1F - ""C"" Course"
7,9,MEGATRON(V119),C Wong,P F Yiu,113,1133,9,5-1/4,1 1 1 7 ,1:41.45,10,18-19-33,Class 4,HV,1650M,GOOD,"T-1F - ""C"" Course"
8,10,ULTIMATE DREAM(A392),D Whyte,D E Ferraris,120,1030,10,5-1/4,9 9 10 8 ,1:41.46,6.7,18-19-33,Class 4,HV,1650M,GOOD,"T-1F - ""C"" Course"
9 ,5,WALDORF(B253),K C Ng,A S Cruz,128,1073,6,6,2 3 4 9 ,1:41.59,47,18-19-33,Class 4,HV,1650M,GOOD,"T-1F - ""C"" Course"
9 ,6,SWEETIE BARLEY(A231),C Y Ho,C Fownes,125,1064,8,6,3 4 3 9 ,1:41.59,24,18-19-33,Class 4,HV,1650M,GOOD,"T-1F - ""C"" Course"
11,2,TEN FLAMES(S447),T H So,L Ho,131,1105,7,6,11 11 12 11 ,1:41.60,6.9,18-19-33,Class 4,HV,1650M,GOOD,"T-1F - ""C"" Course"
12,3,ENORMOUS HONO-1(T236),N Callan,Y S Tsui,132,1153,12,8-1/4,12 12 11 12 ,1:41.94,17,18-19-33,Class 4,HV,1650M,GOOD,"T-1F - ""C"" Course"

1,2,KEEP MOVING(A124),C Wong,P F Yiu,123,1136,5,-,4 5 1 ,0:57.73,7.9,18-19-34,Class 3,HV,1000M,GOOD,"T-1F - ""C"" Course"
2,11,GENERAL IRON(P429),G van Niekerk,D E Ferraris,116,1163,10,3/4,11 11 2 ,0:57.84,17,18-19-34,Class 3,HV,1000M,GOOD,"T-1F - ""C"" Course"
3,7,SUPER WISE(A100),U Rispoli,C H Yip,125,1123,4,1,7 4 3 ,0:57.88,5.7,18-19-34,Class 3,HV,1000M,GOOD,"T-1F - ""C"" Course"
4,8,MOST BEAUTIFUL(A022),H T Mo,C S Shum,111,1160,11,2-1/4,9 10 4 ,0:58.07,5.9,18-19-34,Class 3,HV,1000M,GOOD,"T-1F - ""C"" Course"
5,4,PRINCE HARMONY(V012),H N Wong,W Y So,124,1167,6,2-1/4,3 3 5 ,0:58.09,16,18-19-34,Class 3,HV,1000M,GOOD,"T-1F - ""C"" Course"
6,1,E-SUPER(T010),K C Leung,K L Man,133,1020,8,2-1/2,6 8 6 ,0:58.15,9.5,18-19-34,Class 3,HV,1000M,GOOD,"T-1F - ""C"" Course"
7,6,MY BEGINNER'S LUCK(A420),S Clipperton,M J Freedman    ,125,1124,3,2-3/4,2 1 7 ,0:58.15,25,18-19-34,Class 3,HV,1000M,GOOD,"T-1F - ""C"" Course"
8,10,CHEER WIN(V347),K Teetan,P F Yiu,114,1124,9,2-3/4,10 9 8 ,0:58.18,12,18-19-34,Class 3,HV,1000M,GOOD,"T-1F - ""C"" Course"
9,5,G-ONE LOVER(T427),C Murray,C S Shum,125,1170,7,2-3/4,5 7 9 ,0:58.18,12,18-19-34,Class 3,HV,1000M,GOOD,"T-1F - ""C"" Course"
10,3,T-1F SPRINT(T396),Z Purton,W Y So,130,1118,1,3,1 2 10 ,0:58.20,3.4,18-19-34,Class 3,HV,1000M,GOOD,"T-1F - ""C"" Course"
11,9,O-1 HERO(V278),M L Yeung,C S Shum,114,1267,2,3-1/2,8 6 11 ,0:58.29,31,18-19-34,Class 3,HV,1000M,GOOD,"T-1F - ""C"" Course"

1,8,EIGHTY EIGHTY(B008),Z Purton,W Y So,121,1133,3,-,4 3 1 ,1:10.12,3.5,18-19-35,Class 3,HV,1200M,GOOD,"T-1F - ""C"" Course"
2,7,BEAUTY LOYAL(B383),M F Poon,A S Cruz,116,1085,8,3/4,2 2 2 ,1:10.27,28,18-19-35,Class 3,HV,1200M,GOOD,"T-1F - ""C"" Course"
3,12,STAR OF JOY(A171),H T Mo,C S Shum,110,1055,10,1-1/4,1 1 3 ,1:10.32,9,18-19-35,Class 3,HV,1200M,GOOD,"T-1F - ""C"" Course"
4,4,JADE THEATRE(A040),C Murray,K L Man,124,1075,5,1-3/4,6 7 4 ,1:10.41,9.5,18-19-35,Class 3,HV,1200M,GOOD,"T-1F - ""C"" Course"
5,9,THE JUDGE(A147),A Sanna,C Fownes,120,1049,1,2-1/4,10 9 5 ,1:10.47,12,18-19-35,Class 3,HV,1200M,GOOD,"T-1F - ""C"" Course"
