
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
6,3,PINGWU SPARK(A262),K C Leung,T P Yung,129,1341,10,3-1/2,2 2 2 6 ,1:21.40,24,20-21-309,Group Three,ST,1400M ,GOOD,"TURF - ""C"" Course"
7,12,TAKING AIM(B244),M Chadwick,J Moore,113,1200,9,3-3/4,1 1 1 7 ,1:21.43,17,20-21-309,Group Three,ST,1400M ,GOOD,"TURF - ""C"" Course"
8,4,BORN IN CHINA(T103),D Whyte,K W Lui,123,1083,4,4-1/4,9 9 9 8 ,1:21.53,39,20-21-309,Group Three,ST,1400M ,GOOD,"TURF - ""C"" Course"
9,7,CALIFORNIA WHIP(A114),C Y Ho,A S Cruz,119,1171,7,5-1/4,3 3 3 9 ,1:21.67,62,20-21-309,Group Three,ST,1400M ,GOOD,"TURF - ""C"" Course"
10,6,ROMANTIC TOUCH(S393),A Sanna,A S Cruz,120,1163,2,5-1/4,10 10 11 10 ,1:21.69,109,20-21-309,Group Three,ST,1400M ,GOOD,"TURF - ""C"" Course"
11,1,BEAUTY ONLY(S411),K Teetan,A S Cruz,133,1155,5,6,12 12 10 11 ,1:21.83,15,20-21-309,Group Three,ST,1400M ,GOOD,"TURF - ""C"" Course"
12,5,NOTHINGILIKEMORE(V388),S de Sousa,J Size,121,1168,3,14-3/4,7 7 8 12 ,1:23.19,6.6,20-21-309,Group Three,ST,1400M ,GOOD,"TURF - ""C"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,7,NICCONI EXPRESS(C024),J Moreira,J Size,126,1051,3,-,4 4 2 1 ,1:34.17,3.2,20-21-310,Class 3,ST,1600M,GOOD,"TURF - ""C"" Course"
2,5,VINCY(B213),Z Purton,F C Lor,128,1056,5,3/4,8 7 4 2 ,1:34.32,3.8,20-21-310,Class 3,ST,1600M,GOOD,"TURF - ""C"" Course"
3,8,PAKISTAN FRIEND(B370),S de Sousa,A S Cruz,125,1062,13,3-1/4,1 1 1 3 ,1:34.67,3.3,20-21-310,Class 3,ST,1600M,GOOD,"TURF - ""C"" Course"
4,6,NOBLE STEED(A326),C Y Ho,K W Lui,125,1166,7,3-1/2,7 8 7 4 ,1:34.74,6.6,20-21-310,Class 3,ST,1600M,GOOD,"TURF - ""C"" Course"
5,14,MERRYGOWIN(V396),H N Wong,P O'Sullivan,112,1114,1,3-3/4,5 6 6 5 ,1:34.78,81,20-21-310,Class 3,ST,1600M,GOOD,"TURF - ""C"" Course"
6,11,AMAZING SATCHMO(A363),K Teetan,D E Ferraris,121,1300,6,4-3/4,10 11 11 6 ,1:34.92,14,20-21-310,Class 3,ST,1600M,GOOD,"TURF - ""C"" Course"
7,13,TURF SPRINT(T396),W M Lai,W Y So,119,1129,2,7-3/4,9 9 9 7 ,1:35.42,367,20-21-310,Class 3,ST,1600M,GOOD,"TURF - ""C"" Course"
8,2,JOLLY HONOUR(C080),M L Yeung,Y S Tsui,127,1057,11,8,11 13 13 8 ,1:35.45,362,20-21-310,Class 3,ST,1600M,GOOD,"TURF - ""C"" Course"
9,4,MAGNETISM(V114),G van Niekerk,D E Ferraris,128,1142,12,8-1/2,6 5 8 9 ,1:35.55,93,20-21-310,Class 3,ST,1600M,GOOD,"TURF - ""C"" Course"
10,1,GO BEAUTY GO(V316),M F Poon,J Moore,130,1147,10,9-1/2,2 2 3 10 ,1:35.69,24,20-21-310,Class 3,ST,1600M,GOOD,"TURF - ""C"" Course"
11,12,RAZOR QUEST(S146),M Chadwick,C W Chang,119,1067,9,11-1/4,13 10 10 11 ,1:35.99,73,20-21-310,Class 3,ST,1600M,GOOD,"TURF - ""C"" Course"
12,10,VILLA FIONN(B339),A Badel,K H Ting,123,992,8,13-1/4,12 12 12 12 ,1:36.28,33,20-21-310,Class 3,ST,1600M,GOOD,"TURF - ""C"" Course"
13,3,GREEN DISPATCH(V184),K C Leung,C S Shum,128,1183,4,13-1/2,3 3 5 13 ,1:36.34,117,20-21-310,Class 3,ST,1600M,GOOD,"TURF - ""C"" Course"
